Filesystem Type Size Used Avail Use% Mounted on
/dev/mapper/VolGroup00-lv_var xfs 20G 1.2G 19G 6% /var
/dev/mapper/VolGroup00-lv_opt xfs 45G 8.5G 36G 20% /opt
/dev/mapper/centos-root xfs 28G 9.9G 19G 36% /
devtmpfs devtmpfs 3.9G 0 3.9G 0% /dev
tmpfs tmpfs 3.9G 0 3.9G 0% /dev/shm
tmpfs tmpfs 3.9G 9.5M 3.9G 1% /run
tmpfs tmpfs 3.9G 0 3.9G 0% /sys/fs/cgroup
/dev/sda1 xfs 1014M 188M 827M 19% /boot
tmpfs tmpfs 783M 0 783M 0% /run/user/0
/dev/sdb ext4 8.7M 179K 8.4M 3% /var/lib/kubelet/plugins/kubernetes.io/vsphere-volume/mounts/[CSAP_DS1_NFS] peter
/dev/dm-4 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/a61f704bc347d2a7981e5c702bed48cf2afb6ec62d5ae912c5b727344344ff23
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/edeb8dbd58ae6af016ae3c34e6b0582b77ec84a29e362a2792415b91a7fba2a5/mounts/shm
/dev/dm-3 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/3cc247352f745fde854008c7a6605883bbf8df42366689df95f550016d66954f
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/b42bb92591a939432906aac218a3c7f906a6b9990557723423e35f29f3f0672f/mounts/shm
/dev/dm-5 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/7ee950ba2c5ece9aff740c146ee6fab700c4c80c35dc66747b2de1b34257954e
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/a951c9186477865bcff51e34ea396c2c783312af66f58e7baf79a039dd4c9f03/mounts/shm
/dev/dm-7 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/eb6cf5640fab540eaa030e5ce34b07aaff8e3706dc992edab5d693b1536344e3
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/ee721390c3f9ecc0797f66db0b7e0d250abfe055107d4f029b9fb1c3806078fd/mounts/shm
/dev/dm-8 xfs 10G 218M 9.8G 3% /opt/csap/dockerStorage/devicemapper/mnt/bd2e548c28f63d3b6f84315cb0be1da47bb48e5a7241ed52fe2bd1bbe2d115c9
/dev/dm-9 xfs 10G 174M 9.9G 2% /opt/csap/dockerStorage/devicemapper/mnt/0bfaacb23f8c51495a2bd2a66fcce74009e293f5c185a2490246061520542081
/dev/dm-10 xfs 10G 248M 9.8G 3% /opt/csap/dockerStorage/devicemapper/mnt/a3e15715cb65d58f61a8d615d0263de6850d2b1242357973272901571bcd3e8e
